Jours , Periodes , Valeurs 
 21/04/2017,0:00 - 0:30,56347
 21/04/2017,0:30 - 1:00,53835
 21/04/2017,1:00 - 1:30,54406
 21/04/2017,1:30 - 2:00,53278
 21/04/2017,2:00 - 2:30,52012
 21/04/2017,2:30 - 3:00,50575
 21/04/2017,3:00 - 3:30,49748
 21/04/2017,3:30 - 4:00,49079
 21/04/2017,4:00 - 4:30,49228
 21/04/2017,4:30 - 5:00,49622
 21/04/2017,5:00 - 5:30,51362
 21/04/2017,5:30 - 6:00,53265
 21/04/2017,6:00 - 6:30,55987
 21/04/2017,6:30 - 7:00,57741
 21/04/2017,7:00 - 7:30,59982
 21/04/2017,7:30 - 8:00,62301
 21/04/2017,8:00 - 8:30,63663
 21/04/2017,8:30 - 9:00,64753
 21/04/2017,9:00 - 9:30,65251
 21/04/2017,9:30 - 10:00,64931
 21/04/2017,10:00 - 10:30,64530
 21/04/2017,10:30 - 11:00,63809
 21/04/2017,11:00 - 11:30,63333
 21/04/2017,11:30 - 12:00,63492
 21/04/2017,12:00 - 12:30,62100
 21/04/2017,12:30 - 13:00,62664
 21/04/2017,13:00 - 13:30,59749
 21/04/2017,13:30 - 14:00,58521
 21/04/2017,14:00 - 14:30,58636
 21/04/2017,14:30 - 15:00,55884
 21/04/2017,15:00 - 15:30,54963
 21/04/2017,15:30 - 16:00,53627
 21/04/2017,16:00 - 16:30,52495
 21/04/2017,16:30 - 17:00,51551
 21/04/2017,17:00 - 17:30,51073
 21/04/2017,17:30 - 18:00,51778
 21/04/2017,18:00 - 18:30,52322
 21/04/2017,18:30 - 19:00,53638
 21/04/2017,19:00 - 19:30,53580
 21/04/2017,19:30 - 20:00,53540
 21/04/2017,20:00 - 20:30,53052
 21/04/2017,20:30 - 21:00,54439
 21/04/2017,21:00 - 21:30,53928
 21/04/2017,21:30 - 22:00,52924
 21/04/2017,22:00 - 22:30,54291
 21/04/2017,22:30 - 23:00,57330
 21/04/2017,23:00 - 23:30,57245
 21/04/2017,23:30 - 24:00,55634
 22/04/2017,0:00 - 0:30,53053
 22/04/2017,0:30 - 1:00,50409
 22/04/2017,1:00 - 1:30,50741
 22/04/2017,1:30 - 2:00,49381
 22/04/2017,2:00 - 2:30,47898
 22/04/2017,2:30 - 3:00,46176
 22/04/2017,3:00 - 3:30,45099
 22/04/2017,3:30 - 4:00,44237
 22/04/2017,4:00 - 4:30,43936
 22/04/2017,4:30 - 5:00,43802
 22/04/2017,5:00 - 5:30,44625
 22/04/2017,5:30 - 6:00,45572
 22/04/2017,6:00 - 6:30,46376
 22/04/2017,6:30 - 7:00,46328
 22/04/2017,7:00 - 7:30,47251
 22/04/2017,7:30 - 8:00,48402
 22/04/2017,8:00 - 8:30,50178
 22/04/2017,8:30 - 9:00,51893
 22/04/2017,9:00 - 9:30,53094
 22/04/2017,9:30 - 10:00,53560
 22/04/2017,10:00 - 10:30,53670
 22/04/2017,10:30 - 11:00,53480
 22/04/2017,11:00 - 11:30,53406
 22/04/2017,11:30 - 12:00,54019
 22/04/2017,12:00 - 12:30,53467
 22/04/2017,12:30 - 13:00,54800
 22/04/2017,13:00 - 13:30,51696
 22/04/2017,13:30 - 14:00,50369
 22/04/2017,14:00 - 14:30,50405
 22/04/2017,14:30 - 15:00,47621
 22/04/2017,15:00 - 15:30,46863
 22/04/2017,15:30 - 16:00,45736
 22/04/2017,16:00 - 16:30,44829
 22/04/2017,16:30 - 17:00,44067
 22/04/2017,17:00 - 17:30,43846
 22/04/2017,17:30 - 18:00,44813
 22/04/2017,18:00 - 18:30,45514
 22/04/2017,18:30 - 19:00,46881
 22/04/2017,19:00 - 19:30,47068
 22/04/2017,19:30 - 20:00,47243
 22/04/2017,20:00 - 20:30,46906
 22/04/2017,20:30 - 21:00,48513
 22/04/2017,21:00 - 21:30,48152
 22/04/2017,21:30 - 22:00,47394
 22/04/2017,22:00 - 22:30,49182
 22/04/2017,22:30 - 23:00,52558
 22/04/2017,23:00 - 23:30,52872
 22/04/2017,23:30 - 24:00,51595
 23/04/2017,0:00 - 0:30,49427
 23/04/2017,0:30 - 1:00,47083
 23/04/2017,1:00 - 1:30,47562
 23/04/2017,1:30 - 2:00,46131
 23/04/2017,2:00 - 2:30,44861
 23/04/2017,2:30 - 3:00,43099
 23/04/2017,3:00 - 3:30,41956
 23/04/2017,3:30 - 4:00,41059
 23/04/2017,4:00 - 4:30,40651
 23/04/2017,4:30 - 5:00,40396
 23/04/2017,5:00 - 5:30,40907
 23/04/2017,5:30 - 6:00,41572
 23/04/2017,6:00 - 6:30,41942
 23/04/2017,6:30 - 7:00,41529
 23/04/2017,7:00 - 7:30,42083
 23/04/2017,7:30 - 8:00,42859
 23/04/2017,8:00 - 8:30,44508
 23/04/2017,8:30 - 9:00,46107
 23/04/2017,9:00 - 9:30,47410
 23/04/2017,9:30 - 10:00,48050
 23/04/2017,10:00 - 10:30,48694
 23/04/2017,10:30 - 11:00,49028
 23/04/2017,11:00 - 11:30,49202
 23/04/2017,11:30 - 12:00,50056
 23/04/2017,12:00 - 12:30,49688
 23/04/2017,12:30 - 13:00,51144
 23/04/2017,13:00 - 13:30,47791
 23/04/2017,13:30 - 14:00,46235
 23/04/2017,14:00 - 14:30,46096
 23/04/2017,14:30 - 15:00,43273
 23/04/2017,15:00 - 15:30,42637
 23/04/2017,15:30 - 16:00,41579
 23/04/2017,16:00 - 16:30,40874
 23/04/2017,16:30 - 17:00,40318
 23/04/2017,17:00 - 17:30,40275
 23/04/2017,17:30 - 18:00,41406
 23/04/2017,18:00 - 18:30,42570
 23/04/2017,18:30 - 19:00,44320
 23/04/2017,19:00 - 19:30,45067
 23/04/2017,19:30 - 20:00,45760
 23/04/2017,20:00 - 20:30,45863
 23/04/2017,20:30 - 21:00,47952
 23/04/2017,21:00 - 21:30,47713
 23/04/2017,21:30 - 22:00,47062
 23/04/2017,22:00 - 22:30,48645
 23/04/2017,22:30 - 23:00,51821
 23/04/2017,23:00 - 23:30,52008
 23/04/2017,23:30 - 24:00,50545
 24/04/2017,0:00 - 0:30,47879
 24/04/2017,0:30 - 1:00,45607
 24/04/2017,1:00 - 1:30,46214
 24/04/2017,1:30 - 2:00,44885
 24/04/2017,2:00 - 2:30,43900
 24/04/2017,2:30 - 3:00,42425
 24/04/2017,3:00 - 3:30,41585
 24/04/2017,3:30 - 4:00,41012
 24/04/2017,4:00 - 4:30,41286
 24/04/2017,4:30 - 5:00,41685
 24/04/2017,5:00 - 5:30,43674
 24/04/2017,5:30 - 6:00,45872
 24/04/2017,6:00 - 6:30,48736
 24/04/2017,6:30 - 7:00,50749
 24/04/2017,7:00 - 7:30,53176
 24/04/2017,7:30 - 8:00,55774
 24/04/2017,8:00 - 8:30,57320
 24/04/2017,8:30 - 9:00,58782
 24/04/2017,9:00 - 9:30,59407
 24/04/2017,9:30 - 10:00,59489
 24/04/2017,10:00 - 10:30,59465
 24/04/2017,10:30 - 11:00,59146
 24/04/2017,11:00 - 11:30,59016
 24/04/2017,11:30 - 12:00,59528
 24/04/2017,12:00 - 12:30,58461
 24/04/2017,12:30 - 13:00,59242
 24/04/2017,13:00 - 13:30,56697
 24/04/2017,13:30 - 14:00,55933
 24/04/2017,14:00 - 14:30,56351
 24/04/2017,14:30 - 15:00,54074
 24/04/2017,15:00 - 15:30,53460
 24/04/2017,15:30 - 16:00,52446
 24/04/2017,16:00 - 16:30,51566
 24/04/2017,16:30 - 17:00,50829
 24/04/2017,17:00 - 17:30,50303
 24/04/2017,17:30 - 18:00,50964
 24/04/2017,18:00 - 18:30,51669
 24/04/2017,18:30 - 19:00,53026
 24/04/2017,19:00 - 19:30,52953
 24/04/2017,19:30 - 20:00,52821
 24/04/2017,20:00 - 20:30,51955
 24/04/2017,20:30 - 21:00,53017
 24/04/2017,21:00 - 21:30,52271
 24/04/2017,21:30 - 22:00,51100
 24/04/2017,22:00 - 22:30,52390
 24/04/2017,22:30 - 23:00,55308
 24/04/2017,23:00 - 23:30,55251
 24/04/2017,23:30 - 24:00,53596
 25/04/2017,0:00 - 0:30,51853
 25/04/2017,0:30 - 1:00,49306
 25/04/2017,1:00 - 1:30,49804
 25/04/2017,1:30 - 2:00,48460
 25/04/2017,2:00 - 2:30,47378
 25/04/2017,2:30 - 3:00,45893
 25/04/2017,3:00 - 3:30,45044
 25/04/2017,3:30 - 4:00,44432
 25/04/2017,4:00 - 4:30,44559
 25/04/2017,4:30 - 5:00,44884
 25/04/2017,5:00 - 5:30,46629
 25/04/2017,5:30 - 6:00,48597
 25/04/2017,6:00 - 6:30,51260
 25/04/2017,6:30 - 7:00,53066
 25/04/2017,7:00 - 7:30,55414
 25/04/2017,7:30 - 8:00,57902
 25/04/2017,8:00 - 8:30,59285
 25/04/2017,8:30 - 9:00,60551
 25/04/2017,9:00 - 9:30,61151
 25/04/2017,9:30 - 10:00,61152
 25/04/2017,10:00 - 10:30,61142
 25/04/2017,10:30 - 11:00,60836
 25/04/2017,11:00 - 11:30,60749
 25/04/2017,11:30 - 12:00,61310
 25/04/2017,12:00 - 12:30,60192
 25/04/2017,12:30 - 13:00,60918
 25/04/2017,13:00 - 13:30,58380
 25/04/2017,13:30 - 14:00,57612
 25/04/2017,14:00 - 14:30,58123
 25/04/2017,14:30 - 15:00,55900
 25/04/2017,15:00 - 15:30,55329
 25/04/2017,15:30 - 16:00,54365
 25/04/2017,16:00 - 16:30,53525
 25/04/2017,16:30 - 17:00,52826
 25/04/2017,17:00 - 17:30,52349
 25/04/2017,17:30 - 18:00,53076
 25/04/2017,18:00 - 18:30,53794
 25/04/2017,18:30 - 19:00,55195
 25/04/2017,19:00 - 19:30,55045
 25/04/2017,19:30 - 20:00,54824
 25/04/2017,20:00 - 20:30,53915
 25/04/2017,20:30 - 21:00,54917
 25/04/2017,21:00 - 21:30,54236
 25/04/2017,21:30 - 22:00,53117
 25/04/2017,22:00 - 22:30,54434
 25/04/2017,22:30 - 23:00,57398
 25/04/2017,23:00 - 23:30,57293
 25/04/2017,23:30 - 24:00,55620
 26/04/2017,0:00 - 0:30,53391
 26/04/2017,0:30 - 1:00,50865
 26/04/2017,1:00 - 1:30,51368
 26/04/2017,1:30 - 2:00,50064
 26/04/2017,2:00 - 2:30,48949
 26/04/2017,2:30 - 3:00,47454
 26/04/2017,3:00 - 3:30,46593
 26/04/2017,3:30 - 4:00,45976
 26/04/2017,4:00 - 4:30,46107
 26/04/2017,4:30 - 5:00,46457
 26/04/2017,5:00 - 5:30,48168
 26/04/2017,5:30 - 6:00,50095
 26/04/2017,6:00 - 6:30,52597
 26/04/2017,6:30 - 7:00,54231
 26/04/2017,7:00 - 7:30,56527
 26/04/2017,7:30 - 8:00,58947
 26/04/2017,8:00 - 8:30,60310
 26/04/2017,8:30 - 9:00,61545
 26/04/2017,9:00 - 9:30,62209
 26/04/2017,9:30 - 10:00,62224
 26/04/2017,10:00 - 10:30,62216
 26/04/2017,10:30 - 11:00,61925
 26/04/2017,11:00 - 11:30,61847
 26/04/2017,11:30 - 12:00,62407
 26/04/2017,12:00 - 12:30,61309
 26/04/2017,12:30 - 13:00,62065
 26/04/2017,13:00 - 13:30,59493
 26/04/2017,13:30 - 14:00,58689
 26/04/2017,14:00 - 14:30,59136
 26/04/2017,14:30 - 15:00,56840
 26/04/2017,15:00 - 15:30,56221
 26/04/2017,15:30 - 16:00,55216
 26/04/2017,16:00 - 16:30,54335
 26/04/2017,16:30 - 17:00,53579
 26/04/2017,17:00 - 17:30,53128
 26/04/2017,17:30 - 18:00,53869
 26/04/2017,18:00 - 18:30,54646
 26/04/2017,18:30 - 19:00,56128
 26/04/2017,19:00 - 19:30,55970
 26/04/2017,19:30 - 20:00,55740
 26/04/2017,20:00 - 20:30,54780
 26/04/2017,20:30 - 21:00,55741
 26/04/2017,21:00 - 21:30,55089
 26/04/2017,21:30 - 22:00,53985
 26/04/2017,22:00 - 22:30,55325
 26/04/2017,22:30 - 23:00,58326
 26/04/2017,23:00 - 23:30,58242
 26/04/2017,23:30 - 24:00,56601
 27/04/2017,0:00 - 0:30,54413
 27/04/2017,0:30 - 1:00,51919
 27/04/2017,1:00 - 1:30,52445
 27/04/2017,1:30 - 2:00,51173
 27/04/2017,2:00 - 2:30,50022
 27/04/2017,2:30 - 3:00,48509
 27/04/2017,3:00 - 3:30,47618
 27/04/2017,3:30 - 4:00,46971
 27/04/2017,4:00 - 4:30,47031
 27/04/2017,4:30 - 5:00,47310
 27/04/2017,5:00 - 5:30,48990
 27/04/2017,5:30 - 6:00,50885
 27/04/2017,6:00 - 6:30,53481
 27/04/2017,6:30 - 7:00,55207
 27/04/2017,7:00 - 7:30,57493
 27/04/2017,7:30 - 8:00,59904
 27/04/2017,8:00 - 8:30,61078
 27/04/2017,8:30 - 9:00,62126
 27/04/2017,9:00 - 9:30,62738
 27/04/2017,9:30 - 10:00,62700
 27/04/2017,10:00 - 10:30,62655
 27/04/2017,10:30 - 11:00,62337
 27/04/2017,11:00 - 11:30,62219
 27/04/2017,11:30 - 12:00,62739
 27/04/2017,12:00 - 12:30,61561
 27/04/2017,12:30 - 13:00,62263
 27/04/2017,13:00 - 13:30,59671
 27/04/2017,13:30 - 14:00,58877
 27/04/2017,14:00 - 14:30,59318
 27/04/2017,14:30 - 15:00,57013
 27/04/2017,15:00 - 15:30,56399
 27/04/2017,15:30 - 16:00,55390
 27/04/2017,16:00 - 16:30,54498
 27/04/2017,16:30 - 17:00,53734
 27/04/2017,17:00 - 17:30,53351
 27/04/2017,17:30 - 18:00,54151
 27/04/2017,18:00 - 18:30,54833
 27/04/2017,18:30 - 19:00,56238
 27/04/2017,19:00 - 19:30,55962
 27/04/2017,19:30 - 20:00,55639
 27/04/2017,20:00 - 20:30,54694
 27/04/2017,20:30 - 21:00,55645
 27/04/2017,21:00 - 21:30,55034
 27/04/2017,21:30 - 22:00,53943
 27/04/2017,22:00 - 22:30,55286
 27/04/2017,22:30 - 23:00,58296
 27/04/2017,23:00 - 23:30,58212
 27/04/2017,23:30 - 24:00,56564
